GEOID,NAME,lat,lon,avg_rent_est,median_rent_est,pct_rent_lt_750,pct_rent_ge_1000,rent_afford_score
T04,NSA T04,33.73779524510991,-84.42386506136147,826.6378012048193,875,47.7,35.1,78.63372093023256
V01,NSA V01,33.73914091777123,-84.3858739789225,949.1621621621622,875,38.6,44.8,64.97093023255815
V02,NSA V02,33.729079500887785,-84.40522250120155,911.8566904196358,875,34.8,39.2,66.27906976744185
V03,NSA V03,33.726851102747354,-84.38666703830523,966.2760416666666,875,35.7,41.9,64.97093023255815
V04,NSA V04,33.73813159030667,-84.39764065505202,824.0033222591362,875,45.1,31.7,79.21511627906978
W01,NSA W01,33.73771156571623,-84.37097004670035,1425.9564643799472,1250,5.7,77,17.65988372093023
W02,NSA W02,33.71739551207869,-84.3583224966851,1033.7344720496894,875,25.5,44.5,55.66860465116279
W03,NSA W03,33.734459793386755,-84.35452597650831,1424.6845425867507,1750,7.8,80.3,16.787790697674414
W04,NSA W04,33.73500559691808,-84.33701530323876,1205.6211180124224,1250,25,68.2,38.081395348837205
X01,NSA X01,33.717360437518074,-84.41149186821906,1258.9912280701753,1250,5.8,86.2,11.046511627906968
X02,NSA X02,33.68823941416809,-84.40853323273592,842.1270718232045,875,45.2,31.4,79.50581395348838
X03,NSA X03,33.67693797934014,-84.40746928718787,801.6493055555555,875,42.1,27.7,79.94186046511629
X04,NSA X04,33.70599414829503,-84.41550733471131,991.3541666666666,1250,31.6,51,55.377906976744185
X05,NSA X05,33.65351313173374,-84.42398022200636,null,null,null,null,null
Y01,NSA Y01,33.71675101633773,-84.37313592323139,842.485549132948,875,46.8,11.8,94.91279069767442
Y02,NSA Y02,33.711084325835486,-84.39730362099367,855.6748466257669,875,36,39.3,67.07848837209302
Y03,NSA Y03,33.71524658504721,-84.38657681040344,812.3181377303589,875,46.9,28.9,82.55813953488372
Y04,NSA Y04,33.703884245372215,-84.38461154931397,898.0276134122288,875,28,40.3,60.537790697674424
Z01,NSA Z01,33.69163429826394,-84.36315276362974,962.9815100154083,875,21.7,38.3,57.412790697674424
Z02,NSA Z02,33.7017367767188,-84.35680737346233,715.7635467980296,625,50.8,20.4,91.56976744186048
Z03,NSA Z03,33.66463397108052,-84.38395568640209,907.1876867901973,875,32.2,36.7,66.2063953488372
Z04,NSA Z04,33.6888641766859,-84.38599604357752,976.5643802647413,875,23.2,37.2,59.302325581395344
Z05,NSA Z05,33.66516050749491,-84.36025795962708,941.8544194107452,875,27.3,39.1,60.90116279069767
